"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"Milano Bovisa-Pavia","45.4594809978797","9.22396965966341","7",""
"Milano Bovisa-Pavia","45.433611","9.239167","8",""
"Milano Bovisa-Pavia","45.359727","9.221483","9",""
"Milano Bovisa-Pavia","45.339132244787","9.20317838979583","10",""
"Milano Bovisa-Pavia","45.32047","9.190514","11",""
"Milano Bovisa-Pavia","45.256526","9.154363","12",""
"Milano Bovisa-Pavia","45.188839","9.145056","13",""
"Milano Bovisa-Seveso","45.502512","9.159143","8",""
"Milano Bovisa-Seveso","45.521258","9.167569","9",""
"Milano Bovisa-Seveso","45.53073","9.172313","10",""
"Milano Bovisa-Seveso","45.54207","9.173348","11",""
"Milano Bovisa-Seveso","45.54807","9.173809","12",""
"Milano Bovisa-Seveso","45.56492","9.16115","13",""
"Milano Bovisa-Seveso","45.581105","9.156642","14",""
"Milano Bovisa-Seveso","45.595533","9.153347","15",""
"Milano Bovisa-Seveso","45.612015","9.141247","16",""
"Milano Bovisa-Seveso","45.631663","9.141807","17",""
"Milano Bovisa-Seveso","45.64831","9.14044","18",""
"Milano Cadorna-Camnago Lentate","45.468114","9.176824","1",""
"Milano Cadorna-Camnago Lentate","45.481182","9.161868","2",""
"Milano Cadorna-Camnago Lentate","45.502512","9.159143","3",""
"Milano Cadorna-Camnago Lentate","45.521258","9.167569","4",""
"Milano Cadorna-Camnago Lentate","45.53073","9.172313","5",""
"Milano Cadorna-Camnago Lentate","45.54207","9.173348","6",""
"Milano Cadorna-Camnago Lentate","45.54807","9.173809","7",""
"Milano Cadorna-Camnago Lentate","45.56492","9.16115","8",""
"Milano Cadorna-Camnago Lentate","45.581105","9.156642","9",""
"Milano Cadorna-Camnago Lentate","45.595533","9.153347","10",""
"Milano Cadorna-Camnago Lentate","45.612015","9.141247","11",""
"Milano Cadorna-Camnago Lentate","45.631663","9.141807","12",""
"Milano Cadorna-Camnago Lentate","45.64831","9.14044","13",""
"Milano Cadorna-Camnago Lentate","45.668437","9.133499","14",""
"Milano Cadorna-Milano Affori","45.468114","9.176824","1",""
"Milano Cadorna-Milano Affori","45.481182","9.161868","2",""
"Milano Cadorna-Milano Affori","45.502512","9.159143","3",""
"Milano Cadorna-Milano Affori","45.521258","9.167569","4",""
"Milano Cadorna-Saronno","45.468114","9.176824","1",""
"Milano Cadorna-Saronno","45.481182","9.161868","2",""
"Milano Cadorna-Saronno","45.502512","9.159143","3",""
"Milano Cadorna-Saronno","45.519579","9.145024","4",""
"Milano Cadorna-Saronno","45.533048","9.132621","5",""
"Milano Cadorna-Saronno","45.542962","9.123024","6",""
"Milano Cadorna-Saronno","45.552618","9.112085","7",""
"Milano Cadorna-Saronno","45.57113","9.090912","8",""
"Milano Cadorna-Saronno","45.580209","9.080313","9",""
"Milano Cadorna-Saronno","45.590815","9.066339","10",""
"Milano Cadorna-Saronno","45.598107","9.057955","11",""
"Milano Cadorna-Saronno","45.611718","9.0458","12",""
"Milano Cadorna-Saronno","45.624978","9.03076","13",""
"Milano Cadorna-Seveso","45.468114","9.176824","1",""
"Milano Cadorna-Seveso","45.481182","9.161868","2",""
"Milano Cadorna-Seveso","45.502512","9.159143","3",""
"Milano Cadorna-Seveso","45.521258","9.167569","4",""
"Milano Cadorna-Seveso","45.53073","9.172313","5",""
"Milano Cadorna-Seveso","45.54207","9.173348","6",""
"Milano Cadorna-Seveso","45.54807","9.173809","7",""
"Milano Cadorna-Seveso","45.56492","9.16115","8",""
"Milano Cadorna-Seveso","45.581105","9.156642","9",""
"Milano Cadorna-Seveso","45.595533","9.153347","10",""
"Milano Cadorna-Seveso","45.612015","9.141247","11",""
"Milano Cadorna-Seveso","45.631663","9.141807","12",""
"Milano Cadorna-Seveso","45.64831","9.14044","13",""
"Milano Centrale-Lecco","45.486117","9.203635","1",""
"Milano Centrale-Lecco","45.512914","9.214186","3",""
"Milano Centrale-Lecco","45.54131","9.238933","4",""
"Milano Centrale-Lecco","45.577974","9.272921","5",""
"Milano Centrale-Lecco","45.62383","9.322924","6",""
"Milano Centrale-Lecco","45.6530856145483","9.3752011107615","7",""
"Milano Centrale-Lecco","45.678552","9.387104","8",""
"Milano Centrale-Lecco","45.6949573864427","9.39682330239261","9",""
"Milano Centrale-Lecco","45.729175","9.40368","10",""
"Milano Centrale-Lecco","45.755504","9.422203","11",""
"Milano Centrale-Lecco","45.801726","9.427181","12",""
"Milano Centrale-Lecco","45.812827","9.422552","13",""
"Milano Centrale-Lecco","45.830896","9.411979","14",""
"Milano Centrale-Lecco","45.856403","9.393445","15",""
"Milano Certosa-Chiasso","45.506768","9.136441","3",""
"Milano Certosa-Chiasso","45.502019","9.15093","4",""
"Milano Certosa-Chiasso","45.484597","9.187596","5",""
"Milano Certosa-Chiasso","45.512914","9.214186","6",""
"Milano Certosa-Chiasso","45.54131","9.238933","7",""
"Milano Certosa-Chiasso","45.577974","9.272921","8",""
"Milano Certosa-Chiasso","45.606069","9.235468","9",""
"Milano Certosa-Chiasso","45.620132","9.218321","10",""
"Milano Certosa-Chiasso","45.646111","9.203005","11",""
"Milano Certosa-Chiasso","45.668437","9.133499","12",""
"Milano Certosa-Chiasso","45.697212","9.107328","13",""
"Milano Certosa-Chiasso","45.716224","9.099464","14",""
"Milano Certosa-Chiasso","45.740867","9.08211","15",""
"Milano Certosa-Chiasso","45.776872","9.073108","16",""
"Milano Certosa-Chiasso","45.809099","9.072701","17",""
"Milano Certosa-Chiasso","45.834719","9.031944","18",""
"Milano Certosa-Pioltello","45.506768","9.136441","9",""
"Milano Certosa-Pioltello","45.502019","9.15093","10",""
"Milano Certosa-Pioltello","45.494969","9.176191","11",""
"Milano Certosa-Pioltello","45.484597","9.187596","12",""
"Milano Certosa-Pioltello","45.47882","9.197123","13",""
"Milano Certosa-Pioltello","45.475495","9.206114","14",""
"Milano Certosa-Pioltello","45.467844","9.217368","15",""
"Milano Certosa-Pioltello","45.4594809978797","9.22396965966341","16",""
"Milano Certosa-Pioltello","45.4558103778789","9.23683413881649","17",""
"Milano Certosa-Pioltello","45.48078","9.298553","18",""
"Milano Certosa-Pioltello","45.48613","9.329495","19",""
"Milano Certosa-Treviglio","45.506768","9.136441","14",""
"Milano Certosa-Treviglio","45.502019","9.15093","15",""
"Milano Certosa-Treviglio","45.494969","9.176191","16",""
"Milano Certosa-Treviglio","45.484597","9.187596","17",""
"Milano Certosa-Treviglio","45.47882","9.197123","18",""
"Milano Certosa-Treviglio","45.475495","9.206114","19",""
"Milano Certosa-Treviglio","45.467844","9.217368","20",""
"Milano Certosa-Treviglio","45.4594809978797","9.22396965966341","21",""
"Milano Certosa-Treviglio","45.4558103778789","9.23683413881649","22",""
"Milano Certosa-Treviglio","45.48078","9.298553","23",""
"Milano Certosa-Treviglio","45.48613","9.329495","24",""
"Milano Certosa-Treviglio","45.494163","9.375522","25",""
"Milano Certosa-Treviglio","45.502066","9.419199","26",""
"Milano Certosa-Treviglio","45.508509","9.456332","27",""
"Milano Certosa-Treviglio","45.51267","9.480203","28",""
"Milano Certosa-Treviglio","45.514459","9.5129","29",""
"Milano Certosa-Treviglio","45.515403","9.588693","30",""
"Milano Porta Garibaldi-Albairate","45.484597","9.187596","14",""
"Milano Porta Garibaldi-Albairate","45.485","9.237","15",""
"Milano Porta Garibaldi-Albairate","45.4558103778789","9.23683413881649","16",""
"Milano Porta Garibaldi-Albairate","45.4459008052189","9.21381115076734","17",""
"Milano Porta Garibaldi-Albairate","45.4440207880837","9.16766185606384","18",""
"Milano Porta Garibaldi-Albairate","45.442534","9.130175","19",""
"Milano Porta Garibaldi-Albairate","45.43607","9.109301","20",""
"Milano Porta Garibaldi-Albairate","45.430402","9.09161","21",""
"Milano Porta Garibaldi-Albairate","45.420449","9.067047","22",""
"Milano Porta Garibaldi-Albairate","45.408709","9.031126","23",""
"Milano Porta Garibaldi-Albairate","45.404525","8.957634","24",""
"Milano Porta Garibaldi-Besana","45.484597","9.187596","1",""
"Milano Porta Garibaldi-Besana","45.512914","9.214186","2",""
"Milano Porta Garibaldi-Besana","45.54131","9.238933","3",""
"Milano Porta Garibaldi-Besana","45.577974","9.272921","4",""
"Milano Porta Garibaldi-Besana","45.581962","9.284465","5",""
"Milano Porta Garibaldi-Besana","45.603386","9.305079","6",""
"Milano Porta Garibaldi-Besana","45.621436","9.301225","7",""
"Milano Porta Garibaldi-Besana","45.632205","9.298296","8",""
"Milano Porta Garibaldi-Besana","45.645565","9.286856","9",""
"Milano Porta Garibaldi-Besana","45.658911","9.266808","10",""
"Milano Porta Garibaldi-Besana","45.676371","9.252103","11",""
"Rho-Chiasso","45.740867","9.08211","15",""
"Milano Porta Garibaldi-Besana","45.690366","9.261731","12",""
"Milano Porta Garibaldi-Besana","45.702753","9.283037","13",""
"Milano Porta Garibaldi-Chiasso","45.484597","9.187596","5",""
"Milano Porta Garibaldi-Chiasso","45.512914","9.214186","6",""
"Milano Porta Garibaldi-Chiasso","45.54131","9.238933","7",""
"Milano Porta Garibaldi-Chiasso","45.577974","9.272921","8",""
"Milano Porta Garibaldi-Chiasso","45.606069","9.235468","9",""
"Milano Porta Garibaldi-Chiasso","45.620132","9.218321","10",""
