"service_id","date","exception_type"
"LV-S","20151222","1"
"LV-S-F","20151222","1"
"MAR-S","20151222","1"
"LV","20151223","1"
"LV-S","20151223","1"
"LV-S-F","20151223","1"
"MAR-S","20151223","1"
"LV-S","20151224","1"
"LV-S-F","20151224","1"
"MAR-S","20151224","1"
"S-F","20151224","1"
"F","20151225","1"
"LV-S-F","20151225","1"
"S-F","20151225","1"
"F","20151226","1"
"LV-S-F","20151226","1"
"S-F","20151226","1"
"F","20151227","1"
"LV-S-F","20151227","1"
"S-F","20151227","1"
"LV-S","20151228","1"
"LV-S-F","20151228","1"
"MAR-S","20151228","1"
"S-F","20151228","1"
"LV-S","20151229","1"
"LV-S-F","20151229","1"
"MAR-S","20151229","1"
"S-F","20151229","1"
"LV-S","20151230","1"
"LV-S-F","20151230","1"
"MAR-S","20151230","1"
"S-F","20151230","1"
"LV-S","20151231","1"
"LV-S-F","20151231","1"
"MAR-S","20151231","1"
"S-F","20151231","1"
"F","20160101","1"
"LV-S-F","20160101","1"
"S-F","20160101","1"
"LV-S","20160102","1"
"LV-S-F","20160102","1"
"MAR-S","20160102","1"
"S-F","20160102","1"
"F","20160103","1"
"LV-S-F","20160103","1"
"S-F","20160103","1"
"LV-S","20160104","1"
"LV-S-F","20160104","1"
"MAR-S","20160104","1"
"S-F","20160104","1"
"LV-S","20160105","1"
"LV-S-F","20160105","1"
"MAR-S","20160105","1"
"S-F","20160105","1"
"F","20160106","1"
"LV-S-F","20160106","1"
"S-F","20160106","1"
"LV","20160107","1"
"LV-S","20160107","1"
"LV-S-F","20160107","1"
"MAR-S","20160107","1"
"LV","20160108","1"
"LV-S","20160108","1"
"LV-S-F","20160108","1"
"MAR-S","20160108","1"
"LV-S","20160109","1"
"LV-S-F","20160109","1"
"MAR-S","20160109","1"
"S-F","20160109","1"
"F","20160110","1"
"LV-S-F","20160110","1"
"S-F","20160110","1"
"LV","20160111","1"
"LV-S","20160111","1"
"LV-S-F","20160111","1"
"LV","20160112","1"
"LV-S","20160112","1"
"LV-S-F","20160112","1"
"MAR-S","20160112","1"
"LV","20160113","1"
"LV-S","20160113","1"
"LV-S-F","20160113","1"
"MAR-S","20160113","1"
"LV","20160114","1"
"LV-S","20160114","1"
"LV-S-F","20160114","1"
"MAR-S","20160114","1"
