"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_0_18","13:16:00","13:16:00","S01821","21","","0","0",""
"1_0_18","13:20:00","13:20:00","S01822","22","","0","0",""
"1_0_18","13:25:00","13:25:00","S01823","23","","0","0",""
"1_0_18","13:31:00","13:31:00","S01824","24","","0","0",""
"1_0_18","13:37:00","13:37:00","S01825","25","","0","0",""
"1_0_19","12:38:00","12:38:00","S01933","1","","0","0",""
"1_0_19","12:41:00","12:41:00","S01077","2","","0","0",""
"1_0_19","12:44:00","12:44:00","S01076","3","","0","0",""
"1_0_19","12:45:00","12:45:00","S01075","4","","0","0",""
"1_0_19","12:48:00","12:48:00","S01074","5","","0","0",""
"1_0_19","12:52:00","12:52:00","S01072","7","","0","0",""
"1_0_19","12:55:00","12:55:00","S01071","8","","0","0",""
"1_0_19","12:58:00","12:58:00","S01070","9","","0","0",""
"1_0_19","13:01:00","13:01:00","S01069","10","","0","0",""
"1_0_19","13:06:00","13:06:00","S01642","11","","0","0",""
"1_0_19","13:12:00","13:12:00","S01643","12","","0","0",""
"1_0_19","13:15:00","13:15:00","S01645","13","","0","0",""
"1_0_19","13:17:00","13:17:00","S01648","14","","0","0",""
"1_0_19","13:19:00","13:19:00","S01649","15","","0","0",""
"1_0_19","13:22:00","13:22:00","S01650","16","","0","0",""
"1_0_19","13:26:00","13:26:00","S01633","17","","0","0",""
"1_0_19","13:35:00","13:35:00","S01820","18","","0","0",""
"1_0_19","13:40:00","13:40:00","S01624","19","","0","0",""
"1_0_19","13:43:00","13:43:00","S01830","20","","0","0",""
"1_0_19","13:46:00","13:46:00","S01821","21","","0","0",""
"1_0_19","13:50:00","13:50:00","S01822","22","","0","0",""
"1_0_19","13:55:00","13:55:00","S01823","23","","0","0",""
"1_0_19","14:01:00","14:01:00","S01824","24","","0","0",""
"1_0_19","14:07:00","14:07:00","S01825","25","","0","0",""
"1_0_2","05:36:00","05:36:00","S01642","11","","0","0",""
"1_0_2","05:43:00","05:43:00","S01643","12","","0","0",""
"1_0_2","05:46:00","05:46:00","S01645","13","","0","0",""
"1_0_2","05:48:00","05:48:00","S01648","14","","0","0",""
"1_0_2","05:50:00","05:50:00","S01649","15","","0","0",""
"1_0_2","05:53:00","05:53:00","S01650","16","","0","0",""
"1_0_2","05:56:00","05:56:00","S01633","17","","0","0",""
"1_0_2","06:05:00","06:05:00","S01820","18","","0","0",""
"1_0_2","06:10:00","06:10:00","S01624","19","","0","0",""
"1_0_2","06:13:00","06:13:00","S01830","20","","0","0",""
"1_0_2","06:16:00","06:16:00","S01821","21","","0","0",""
"1_0_2","06:20:00","06:20:00","S01822","22","","0","0",""
"1_0_2","06:25:00","06:25:00","S01823","23","","0","0",""
"1_0_2","06:31:00","06:31:00","S01824","24","","0","0",""
"1_0_2","06:37:00","06:37:00","S01825","25","","0","0",""
"1_0_20","13:08:00","13:08:00","S01933","1","","0","0",""
"1_0_20","13:11:00","13:11:00","S01077","2","","0","0",""
"1_0_20","13:14:00","13:14:00","S01076","3","","0","0",""
"1_0_20","13:15:00","13:15:00","S01075","4","","0","0",""
"1_0_20","13:18:00","13:18:00","S01074","5","","0","0",""
"1_0_20","13:22:00","13:22:00","S01072","7","","0","0",""
"1_0_20","13:25:00","13:25:00","S01071","8","","0","0",""
"1_0_20","13:28:00","13:28:00","S01070","9","","0","0",""
"1_0_20","13:31:00","13:31:00","S01069","10","","0","0",""
"1_0_20","13:36:00","13:36:00","S01642","11","","0","0",""
"1_0_20","13:42:00","13:42:00","S01643","12","","0","0",""
"1_0_20","13:45:00","13:45:00","S01645","13","","0","0",""
"1_0_20","13:47:00","13:47:00","S01648","14","","0","0",""
"1_0_20","13:49:00","13:49:00","S01649","15","","0","0",""
"1_0_20","13:52:00","13:52:00","S01650","16","","0","0",""
"1_0_20","13:56:00","13:56:00","S01633","17","","0","0",""
"1_0_20","14:05:00","14:05:00","S01820","18","","0","0",""
"1_0_20","14:10:00","14:10:00","S01624","19","","0","0",""
"1_0_20","14:13:00","14:13:00","S01830","20","","0","0",""
"1_0_20","14:16:00","14:16:00","S01821","21","","0","0",""
"1_0_20","14:20:00","14:20:00","S01822","22","","0","0",""
"1_0_20","14:25:00","14:25:00","S01823","23","","0","0",""
"1_0_20","14:31:00","14:31:00","S01824","24","","0","0",""
"1_0_20","14:37:00","14:37:00","S01825","25","","0","0",""
"1_0_21","13:38:00","13:38:00","S01933","1","","0","0",""
"1_0_21","13:41:00","13:41:00","S01077","2","","0","0",""
"1_0_21","13:44:00","13:44:00","S01076","3","","0","0",""
"1_0_21","13:45:00","13:45:00","S01075","4","","0","0",""
"1_0_21","13:48:00","13:48:00","S01074","5","","0","0",""
"1_0_21","13:52:00","13:52:00","S01072","7","","0","0",""
"1_0_21","13:55:00","13:55:00","S01071","8","","0","0",""
"1_0_21","13:58:00","13:58:00","S01070","9","","0","0",""
"1_0_21","14:01:00","14:01:00","S01069","10","","0","0",""
"1_0_21","14:06:00","14:06:00","S01642","11","","0","0",""
"1_0_21","14:12:00","14:12:00","S01643","12","","0","0",""
"1_0_21","14:15:00","14:15:00","S01645","13","","0","0",""
"1_0_21","14:17:00","14:17:00","S01648","14","","0","0",""
"1_0_21","14:19:00","14:19:00","S01649","15","","0","0",""
"1_0_21","14:22:00","14:22:00","S01650","16","","0","0",""
"1_0_21","14:26:00","14:26:00","S01633","17","","0","0",""
"1_0_21","14:35:00","14:35:00","S01820","18","","0","0",""
"1_0_21","14:40:00","14:40:00","S01624","19","","0","0",""
"1_0_21","14:43:00","14:43:00","S01830","20","","0","0",""
"1_0_21","14:46:00","14:46:00","S01821","21","","0","0",""
"1_0_21","14:50:00","14:50:00","S01822","22","","0","0",""
"1_0_21","14:55:00","14:55:00","S01823","23","","0","0",""
"1_0_21","15:01:00","15:01:00","S01824","24","","0","0",""
